rewrite,nom_ville_impr1,nom_ville_impr2,nomcaractère
treffortoises-et-cuisatis,Treffort-Cuisiat,
aisonvilloises-et-bernovilloise,Aisonville-et-Bernoville,
casteltheodoricienne,Château-Thierry,,20
chery-chartreuvoise,Chéry-Chartreuve,
mont-nostradamienne,Mont-Notre-Dame,
saint-mard-pontaine,Pont-Saint-Mard,
revilloises-et-sauvignate,Reuilly-Sauvigny,
saint-christophoise,"Sᵗ Christophe-à-Berry",
saint-gengoulphoise,Saint-Gengoulph,
lourouziennes-bourbonnaise,Louroux-Bourbonnais,
saint-christophoise,Saint-Christophe,
saint-pierre-avezienne,"Sᵗ Pierre-Avez",
berriassoises-et-casteljoise,Berrias-et-Casteljau,
guilherandais-grangeoise,Guilherand-Granges,
saint-barthelemienne,"Sᵗ Barthélemy-le-Meil",
stephanoises-boulonnaise,"Sᵗ Etienne-de-Boulogne",
stephanoises-fontbellinienne,"Sᵗ Etienne-de-Fontbellon",
saint-pierrevilloise,Saint-Pierreville,
bellevillaises-et-chatillonnaise,Belleville-et-Châtillon-sur-Bar,
lavalloises-moricienne,Laval-Morency,
montagnardes-divine,"Le Mont-Dieu",
saint-germainmontoise,Saint-Germainmont,
saint-pierraises-a-arne,"Sᵗ Pierre-à-Arnes",
signaciennes-montlibertoise,Signy-Montlibert,
sorcy-bauthemontaise,Sorcy-Bauthémont,
castelnau-durbannaise,Castelnau-Durban,
mercusiennes-garrabetoise,Mercus-Garrabet,
saint-martinalpoise,"Sᵗ Martin-de-Caralp",
doubet-talibautiere,Bragelogne-Beauvoir,
saint-andrelongoise,"Sᵗ André-de-Roquelongue",
saint-polycarpienne,Saint-Polycarpe,
bernagoles-et-latounaine,Marnhagues-et-Latour,
saint-christophoroise,"Sᵗ Christophe-Vallon",
saint-jeantaises-et-saint-paulaise,"Sᵗ Jean-et-Sᵗ Paul",
saint-symphorienoise,"Sᵗ Symphorien-de-Thénières",
saint-savournicaine,Saint-Savournin,
beaufourquaises-druvalaise,Beaufour-Druval,
feuguerollaises-bullienne,Feuguerolles-Bully,
mesnil-villementaise,"Le Mesnil-Villement",
mervillaises-francevillaise,Merville-Franceville-Plage,
mezidonnaises-et-canonaise,Mézidon-Canon,
saint-martindonnaise,"Sᵗ Martin-Don",
stephano-carladesienne,"Sᵗ Etienne-de-Carlat",
louzacaises-andresienne,Louzac-Saint-André,
roullet-stephanoise,Roullet-Saint-Estèphe,
saint-christophorienne,Saint-Christophe,
hiersoises-et-brouageaise,Hiers-Brouage,
saint-justaises-et-luzacaise,"Sᵗ Just-Luzac",
sainte-colombinoise,Sainte-Colombe,
sainte-radegondaise,Sainte-Radegonde,
jugealiennes-nazareenne,Jugeals-Nazareth,
monestier-merlinoise,Monestier-Merlines,
saint-pantaleonnaise,"Sᵗ Pantaléon-de-Larche",
belvederaises-campomoraise,Belvédère-Campomoro,
montignarmanconnaise,Montigny-sur-Armançon,,20
plessix-balissonnienne,Plessix-Balisson,
moutier-rozeillaise,Moutier-Rozeille,
beynacoises-et-cazenacoise,Beynac-et-Cazenac,
champenoises-et-fontenoise,Champagne-et-Fontaine,
caduniennes-et-buissonnais,"Le Buisson-de-Cadouin",
paussacoises-et-vivianaise,Paussac-et-Saint-Vivien,
pressignaco-vicoise,Pressignac-Vicq,
saint-frontaises-d-alemps,"Sᵗ Front-d'Alemps",
saint-jean-d-eyroise,"Sᵗ Jean-d'Eyraud",
mussidanaises-de-saint-medard,"Sᵗ Médard-de-Mussidan",
saint-parduciennes-et-vielvicoise,"Sᵗ Pardoux-et-Vielvic",
saint-paul-lizonnoise,"Sᵗ Paul-Lizonne",
hautchatelpierroise,Hautepierre-le-Châtelet,,19
pont-les-moulinoise,Pont-les-Moulins,
puy-saint-martinoise,Puy-Saint-Martin,
saint-barthelemienne,"Sᵗ Barthélemy-de-Vals",
saint-christophoise,"Sᵗ Christophe-et-le-Laris",
saint-pantaleonaise,"Sᵗ Pantaléon-les-Vignes",
saint-restitutienne,Saint-Restitut,
therouldebourgeoise,Bourgtheroulde-Infreville,,19
