rewrite,gentile_h_ville
ambarrois,Ambarrois
ambarrois,Ambarrois
ambleonais,Ambléonais
ambrunois,Ambrunois
butrian,Butrian
clafordan,Clafordan
marrane,Marrane
randaoillard,Randaoillard
arandassien,Arandassien
arbanais,Arbanais
arbignolan,Arbignolan
arbigneron,Arbigneron
argissien,Argissien
armixois,Armixois
arsois,Arsois
artemarien,Artemarien
asnierois,Asniérois
attignatis,Attignatis
bagesien,Bagésien
bagesien,Bagésien
balanais,Balanais
athanien,Athanien
beaupontois,Beaupontois
beauregardien,Beauregardien
belignard,Bélignard
bellegardien,Bellegardien
belleysan,Belleysan
belleydousan,Belleydousan
renouillus,Renouillus
belmontais,Belmontais
benoncard,Bénonçard
beneen,Bénéen
beonais,Béonais
bettaniers,Bettaniers
begien,Bégien
beynolan,Beynolan
billiatus,Billiatus
birotan,Birotan
biziatis,Biziatis
blyard,Blyard
bolozonnais,Bolozonnais
boulignard,Boulignard
burgien,Burgien
bourtoirs,Bourtoirs
burhin,Burhin
brenazien,Brénazien
brenodien,Brénodien
breniard,Bréniard
bressollands,Bressollands
brionnais,Brionnais
briolands,Briolands
buellassien,Buellassien
ceigneurs,Ceigneurs
cerdonnais,Cerdonnais
certinois,Certinois
cessien,Cessien
ceyzeriacois,Ceyzériacois
ceyzeriolan,Ceyzériolan
chalamontais,Chalamontais
chalinois,Chalinois
chaleysien,Chaleysien
chaleen,Chaléen
challaisien,Challaisien
champenois,Champenois
cambot,Cambot
champfromerands,Champfromerands
chanerus,Chanerus
chaneinois,Chaneinois
chanozien,Chanozien
charian,Charian
charnozien,Charnozien
chateaugaillardan,Chateaugaillardan
chatenaysien,Chatenaysien
chatillonnais,Chatillonnais
chatillonnais,Chatillonnais
chatillonnais,Châtillonnais
chavannois,Chavannois
chavannais,Chavannais
bondolan,Bondolan
chazeyens,Chazeyens
cheignieulat,Cheignieulat
savorays,Savorays
chevroutis,Chevroutis
chevryzien,Chevryzien
chezerands,Chézerands
severin,Severin
cizois,Cizois
cleyzolets,Cleyzolets
colignois,Colignois
collongeois,Collongeois
colomiard,Colomiard
conandais,Conandais
condaminois,Condaminois
conduxien,Conduxien
confordiers,Confordiers
confranconnais,Confrançonnais
controvolat,Controvolat
conzolard,Conzolard
corcellan,Corcellan
corlieron,Corlieron
cormaranchois,Cormaranchois
cormoranchois,Cormoranchois
cormozien,Cormozien
curtivessien,Curtivessien
curtimengien,Curtimengien
crassois,Crassois
crottassis,Crottassis
crozatis,Crozatis
cruzillard,Cruzillard
culozien,Culozien
curciatis,Curciatis
cuziolan,Cuziolan
dagnard,Dagnard
divonnais,Divonnais
dommartinois,Dommartinois
dompierrois,Dompierrois
dompierrois,Dompierrois
domsurois,Domsurois
dortannais,Dortannais
douvrois,Douvrois
dromniers,Dromniers
druillatis,Druillatis
echallonnais,Echallonnais
chenevessien,Chenevessien
etrezien,Etrézien
evosgien,Evosgien
faramandard,Faramandard
farinois,Farinois
fargeois,Fargeois
feillendits,Feillendits
ferneysien,Ferneysien
flaxiolan,Flaxiolan
foissiatis,Foissiatis
franvernois,Franvernois
genolien,Génolien
germagnatis-ou-germanois,"Germagnatis ou Germanois"
gessien,Gessien
gironnais,Gironnais
gorrevoutis,Gorrevoutis
corentin,Corentin
griegeois,Griègeois
grillerands,Grillerands
groissiatis,Groissiatis
guerinois,Guerinois
altacurcien,Altacurcien
hautevillois,Hautevillois
tiaque,Tiaque
illiatis,Illiatis
injolan,Injolan
izernois,Izernois
izieulants,Izieulants
jassannais,Jassannais
jasseronnais,Jasseronnais
jayatis,Jayatis
journanais,Journanais
joliacois,Joliacois
sussurien,Sussurien
abergementais,Abergementais
buissard,Buissard
burbanchois,Burbanchois
chatelardois,Châtelardois
tranclerien,Tranclérien
balmeran,Balméran
lagnolan,Lagnolan
laizien,Laizien
lalleyriatiers,Lalleyriatiers
lancranais,Lancranais
beguelin,Béguelin
perousard,Pérousard
lavortin,Lavortin
pofs,Pofs
montilien,Montilien
plantaysien,Plantaysien
poizatiers,Poizatiers
leazien,Léazien
lelerands,Lélerands
lentais,Lentais
neyrollan,Neyrollan
lescherouxien,Lescherouxien
leymentais,Leymentais
hospitaliers,Hospitaliers
lhuissar,Lhuissar
chicaneurs,Chicaneurs
lompniolan,Lompniolan
loyettain,Loyettain
lupercien,Lupercien
magnolan,Magnolan
maillatis,Maillatis
malafertois,Malafertois
mantenayron,Mantenayron
manziatis,Manziatis
marbozien,Marbozien
marignolan,Marignolan
marliozard,Marliozard
martignanais,Martignanais
masserot,Masserot
massignolants,Massignolants
matafelonais,Matafelonais
meillonnassien,Meillonnassien
messimien,Messimien
meximiard,Meximiard
mezeriatis,Mézériatis
mijolands,Mijolands
mionnezan,Mionnezan
miribelan,Miribelan
miselan,Miselan
montangers,Montangers
montcellien,Montcellien
montluiste,Montluiste
montmerlois,Montmerlois
montrealais,Montréalais
montrevelois,Montrevélois
nantuatien,Nantuatien
nattageois,Nattageois
neuvillois,Neuvillois
neuvillois,Neuvillois
neyrolands,Neyrolands
nievrants,Nièvrants
onciolan,Onciolan
ordonnaxien,Ordonnaxien
ornesien,Ornésien
triolin,Triolin
oyonnaxien,Oyonnaxien
parcevin,Parcevin
parveran,Parveran
peronnais,Péronnais
peronnassien,Péronnassien
perougien,Pérougien
perrexien,Perrexien
peyriatis,Peyriatis
peyriolan,Peyriolan
pieziacois,Piéziacois
pirajellien,Pirajellien
pizolands,Pizolands
