rewrite,gentile_f_ville
ambarroise,Ambarroise
ambarroise,Ambarroise
ambleonaise,Ambléonaise
ambrunoise,Ambrunoise
butriane,Butriane
clafordane,Clafordane
randaoillarde,Randaoillarde
arandassienne,Arandassienne
arbanaise,Arbanaise
arbignolane,Arbignolane
arbigneronne,Arbigneronne
argissienne,Argissienne
armixoise,Armixoise
arsoise,Arsoise
artemarienne,Artemarienne
asnieroise,Asniéroise
bagesienne,Bagésienne
bagesienne,Bagésienne
balanaise,Balanaise
athanienne,Athanienne
beaupontoise,Beaupontoise
beauregardienne,Beauregardienne
belignarde,Bélignarde
bellegardienne,Bellegardienne
belleysanne,Belleysanne
belleydousane,Belleydousane
belmontaise,Belmontaise
benoncarde,Bénonçarde
beneenne,Bénéenne
beonaise,Béonaise
bettaniere,Bettanière
begienne,Bégienne
beynolane,Beynolane
billiatuse,Billiatuse
birotane,Birotane
biziatie,Biziatie
blyarde,Blyarde
bolozonnaise,Bolozonnaise
boulignarde,Boulignarde
burgienne,Burgienne
bourtoire,Bourtoire
burhine,Burhine
brenazienne,Brénazienne
brenodienne,Brénodienne
breniarde,Bréniarde
bressollande,Bressollande
brionnaise,Brionnaise
briolande,Briolande
buellassienne,Buellassienne
ceigneuse,Ceigneuse
cerdonnaise,Cerdonnaise
certinoise,Certinoise
cessienne,Cessienne
ceyzeriacoise,Ceyzériacoise
ceyzeriolane,Ceyzériolane
chalamontaise,Chalamontaise
chalinoise,Chalinoise
chaleysienne,Chaleysienne
chaleenne,Chaléenne
challaisienne,Challaisienne
champenoise,Champenoise
cambotte,Cambotte
champfromerande,Champfromerande
chanerue,Chanerue
chaneinoise,Chaneinoise
chanozienne,Chanozienne
chariane,Chariane
charnozienne,Charnozienne
chateaugaillardane,Chateaugaillardane
chatenaysienne,Chatenaysienne
chatillonnaise,Chatillonnaise
chatillonnaise,Chatillonnaise
chatillonnaise,Châtillonnaise
chavannoise,Chavannoise
chavannaise,Chavannaise
bondolane,Bondolane
chazeyenne,Chazeyenne
cheignieulate,Cheignieulate
chevroutie,Chevroutie
chevryzienne,Chevryzienne
chezerande,Chézerande
severine,Severine
cizoise,Cizoise
cleyzolette,Cleyzolette
colignoise,Colignoise
collongeoise,Collongeoise
colomiarde,Colomiarde
conandaise,Conandaise
condaminoise,Condaminoise
conduxienne,Conduxienne
confordiere,Confordière
confranconnaise,Confrançonnaise
controvolate,Controvolate
conzolarde,Conzolarde
corcellane,Corcellane
corlierone,Corlierone
cormaranchoise,Cormaranchoise
cormoranchoise,Cormoranchoise
cormozienne,Cormozienne
curtivessienne,Curtivessienne
curtimengienne,Curtimengienne
crassoise,Crassoise
crottassise,Crottassise
cruzillarde,Cruzillarde
culozienne,Culozienne
curciatie,Curciatie
cuziolane,Cuziolane
dagnarde,Dagnarde
divonnaise,Divonnaise
dommartinoise,Dommartinoise
dompierroise,Dompierroise
dompierroise,Dompierroise
domsuroise,Domsuroise
dortannaise,Dortannaise
douvroise,Douvroise
dromniere,Dromnière
echallonnaise,Echallonnaise
chenevessienne,Chenevessienne
etrezienne,Etrézienne
evosgienne,Evosgienne
faramandarde,Faramandarde
farinoise,Farinoise
fargeoise,Fargeoise
feillendite,Feillendite
ferneysienne,Ferneysienne
flaxiolane,Flaxiolane
foissiatie,Foissiatie
