rewrite,nom_ville
amberieu-en-bugey,Ambérieu-en-Bugey
amberieux-en-dombes,Ambérieux-en-Dombes
ambleon,Ambléon
ambronay,Ambronay
ambutrix,Ambutrix
andert-et-condon,Andert-et-Condon
anglefort,Anglefort
apremont,Apremont
aranc,Aranc
arandas,Arandas
arbent,Arbent
arbignieu,Arbignieu
arbigny,Arbigny
argis,Argis
armix,Armix
ars-sur-formans,Ars-sur-Formans
artemare,Artemare
asnieres-sur-saone,Asnières-sur-Saône
attignat,Attignat
bage-la-ville,Bâgé-la-Ville
bage-le-chatel,Bâgé-le-Châtel
balan,Balan
baneins,Baneins
beard-geovreissiat,Béard-Géovreissiat
beaupont,Beaupont
beauregard,Beauregard
beligneux,Béligneux
bellegarde-sur-valserine,Bellegarde-sur-Valserine
belley,Belley
belleydoux,Belleydoux
bellignat,Bellignat
belmont-luthezieu,Belmont-Luthézieu
benonces,Bénonces
beny,Bény
beon,Béon
bereziat,Béréziat
bettant,Bettant
bey,Bey
beynost,Beynost
billiat,Billiat
birieux,Birieux
biziat,Biziat
blyes,Blyes
bohas-meyriat-rignat,Bohas-Meyriat-Rignat
boissey,Boissey
bolozon,Bolozon
bouligneux,Bouligneux
bourg-en-bresse,Bourg-en-Bresse
bourg-saint-christophe,Bourg-Saint-Christophe
boyeux-saint-jerome,Boyeux-Saint-Jérôme
boz,Boz
bregnier-cordon,Brégnier-Cordon
brenaz,Brénaz
brenod,Brénod
brens,Brens
bressolles,Bressolles
brion,Brion
briord,Briord
buellas,Buellas
ceignes,Ceignes
cerdon,Cerdon
certines,Certines
cessy,Cessy
ceyzeriat,Ceyzériat
ceyzerieu,Ceyzérieu
chalamont,Chalamont
chaleins,Chaleins
chaley,Chaley
challes-la-montagne,Challes-la-Montagne
challex,Challex
champagne-en-valromey,Champagne-en-Valromey
champdor,Champdor
champfromier,Champfromier
chanay,Chanay
chaneins,Chaneins
chanoz-chatenay,Chanoz-Châtenay
charix,Charix
charnoz-sur-ain,Charnoz-sur-Ain
chateau-gaillard,Château-Gaillard
chatenay,Châtenay
chatillon-en-michaille,Châtillon-en-Michaille
chatillon-la-palud,Châtillon-la-Palud
chatillon-sur-chalaronne,Châtillon-sur-Chalaronne
chavannes-sur-reyssouze,Chavannes-sur-Reyssouze
chavannes-sur-suran,Chavannes-sur-Suran
chaveyriat,Chaveyriat
chavornay,Chavornay
chazey-bons,Chazey-Bons
chazey-sur-ain,Chazey-sur-Ain
cheignieu-la-balme,Cheignieu-la-Balme
chevillard,Chevillard
chevroux,Chevroux
chevry,Chevry
chezery-forens,Chézery-Forens
civrieux,Civrieux
cize,Cize
cleyzieu,Cleyzieu
coligny,Coligny
collonges,Collonges
colomieu,Colomieu
conand,Conand
condamine,Condamine
condeissiat,Condeissiat
confort,Confort
confrancon,Confrançon
contrevoz,Contrevoz
conzieu,Conzieu
corbonod,Corbonod
corcelles,Corcelles
corlier,Corlier
cormaranche-en-bugey,Cormaranche-en-Bugey
cormoranche-sur-saone,Cormoranche-sur-Saône
cormoz,Cormoz
corveissiat,Corveissiat
courmangoux,Courmangoux
courtes,Courtes
crans,Crans
cras-sur-reyssouze,Cras-sur-Reyssouze
cressin-rochefort,Cressin-Rochefort
crottet,Crottet
crozet,Crozet
cruzilles-les-mepillat,Cruzilles-lès-Mépillat
culoz,Culoz
curciat-dongalon,Curciat-Dongalon
curtafond,Curtafond
cuzieu,Cuzieu
dagneux,Dagneux
divonne-les-bains,Divonne-les-Bains
dommartin,Dommartin
dompierre-sur-chalaronne,Dompierre-sur-Chalaronne
dompierre-sur-veyle,Dompierre-sur-Veyle
domsure,Domsure
dortan,Dortan
douvres,Douvres
drom,Drom
druillat,Druillat
echallon,Echallon
echenevex,Echenevex
etrez,Etrez
evosges,Evosges
faramans,Faramans
fareins,Fareins
farges,Farges
feillens,Feillens
ferney-voltaire,Ferney-Voltaire
flaxieu,Flaxieu
foissiat,Foissiat
francheleins,Francheleins
frans,Frans
garnerans,Garnerans
genouilleux,Genouilleux
geovreisset,Géovreisset
germagnat,Germagnat
gex,Gex
giron,Giron
gorrevod,Gorrevod
grand-corent,Grand-Corent
grieges,Grièges
grilly,Grilly
groissiat,Groissiat
groslee,Groslée
guereins,Guéreins
hautecourt-romaneche,Hautecourt-Romanèche
hauteville-lompnes,Hauteville-Lompnes
hostiaz,Hostiaz
hotonnes,Hotonnes
illiat,Illiat
injoux-genissiat,Injoux-Génissiat
innimond,Innimond
izenave,Izenave
izernore,Izernore
izieu,Izieu
jassans-riottier,Jassans-Riottier
jasseron,Jasseron
jayat,Jayat
journans,Journans
joyeux,Joyeux
jujurieux,Jujurieux
l-abergement-clemenciat,L'Abergement-Clémenciat
l-abergement-de-varey,L'Abergement-de-Varey
la-boisse,"La Boisse"
la-burbanche,"La Burbanche"
la-chapelle-du-chatelard,"La Chapelle-du-Châtelard"
la-trancliere,"La Tranclière"
labalme,Labalme
lagnieu,Lagnieu
laiz,Laiz
lalleyriat,Lalleyriat
lancrans,Lancrans
lantenay,Lantenay
lapeyrouse,Lapeyrouse
lavours,Lavours
le-grand-abergement,"Le Grand-Abergement"
le-montellier,"Le Montellier"
le-petit-abergement,"Le Petit-Abergement"
le-plantay,"Le Plantay"
le-poizat,"Le Poizat"
leaz,Léaz
lelex,Lélex
lent,Lent
les-neyrolles,"Les Neyrolles"
lescheroux,Lescheroux
leyment,Leyment
leyssard,Leyssard
lhopital,Lhôpital
lhuis,Lhuis
lochieu,Lochieu
lompnas,Lompnas
lompnieu,Lompnieu
loyettes,Loyettes
lurcy,Lurcy
magnieu,Magnieu
maillat,Maillat
malafretaz,Malafretaz
mantenay-montlin,Mantenay-Montlin
manziat,Manziat
marboz,Marboz
marchamp,Marchamp
marignieu,Marignieu
marlieux,Marlieux
marsonnas,Marsonnas
martignat,Martignat
massieux,Massieux
massignieu-de-rives,Massignieu-de-Rives
matafelon-granges,Matafelon-Granges
meillonnas,Meillonnas
merignat,Mérignat
messimy-sur-saone,Messimy-sur-Saône
meximieux,Meximieux
mezeriat,Mézériat
mijoux,Mijoux
mionnay,Mionnay
miribel,Miribel
miserieux,Misérieux
mogneneins,Mogneneins
montagnat,Montagnat
montagnieu,Montagnieu
montanges,Montanges
montceaux,Montceaux
montcet,Montcet
monthieux,Monthieux
montluel,Montluel
montmerle-sur-saone,Montmerle-sur-Saône
montracol,Montracol
montreal-la-cluse,Montréal-la-Cluse
montrevel-en-bresse,Montrevel-en-Bresse
murs-et-gelignieux,Murs-et-Gélignieux
nantua,Nantua
nattages,Nattages
neuville-les-dames,Neuville-les-Dames
neuville-sur-ain,Neuville-sur-Ain
neyron,Neyron
nievroz,Niévroz
nivollet-montgriffon,Nivollet-Montgriffon
nurieux-volognat,Nurieux-Volognat
oncieu,Oncieu
ordonnaz,Ordonnaz
ornex,Ornex
outriaz,Outriaz
oyonnax,Oyonnax
ozan,Ozan
parcieux,Parcieux
parves,Parves
peron,Péron
peronnas,Péronnas
perouges,Pérouges
perrex,Perrex
peyriat,Peyriat
peyrieu,Peyrieu
peyzieux-sur-saone,Peyzieux-sur-Saône
pirajoux,Pirajoux
pizay,Pizay
plagne,Plagne
polliat,Polliat
pollieu,Pollieu
poncin,Poncin
pont-d-ain,Pont-d'Ain
pont-de-vaux,Pont-de-Vaux
pont-de-veyle,Pont-de-Veyle
port,Port
pougny,Pougny
pouillat,Pouillat
premeyzel,Prémeyzel
premillieu,Prémillieu
pressiat,Pressiat
