rewrite,gentile_h_ville,nbre_car
ambarroi,Ambarroi,8
ambarroi,Ambarroi,8
ambleonai,Ambléonai,9
ambrunoi,Ambrunoi,8
butrian,Butrian,7
clafordan,Clafordan,9
marrane,Marrane,7
randaoillard,Randaoillard,12
arandassien,Arandassien,11
arbanai,Arbanai,7
arbignolan,Arbignolan,10
arbigneron,Arbigneron,10
argissien,Argissien,9
armixoi,Armixoi,7
arsoi,Arsoi,5
artemarien,Artemarien,10
asnieroi,Asniéroi,8
attignati,Attignati,9
bagesien,Bagésien,8
bagesien,Bagésien,8
balanai,Balanai,7
athanien,Athanien,8
beaupontoi,Beaupontoi,10
beauregardien,Beauregardien,13
belignard,Bélignard,9
bellegardien,Bellegardien,12
belleysan,Belleysan,9
belleydousan,Belleydousan,12
renouillus,Renouillus,10
belmontai,Belmontai,9
benoncard,Bénonçard,9
beneen,Bénéen,6
beonai,Béonai,6
bettanier,Bettanier,9
begien,Bégien,6
beynolan,Beynolan,8
billiatus,Billiatus,9
birotan,Birotan,7
biziati,Biziati,7
blyard,Blyard,6
bolozonnai,Bolozonnai,10
boulignard,Boulignard,10
burgien,Burgien,7
bourtoirs,Bourtoirs,9
burhin,Burhin,6
brenazien,Brénazien,9
brenodien,Brénodien,9
breniard,Bréniard,8
bressollands,Bressollands,12
brionnai,Brionnai,8
briolands,Briolands,9
buellassien,Buellassien,11
ceigneurs,Ceigneurs,9
cerdonnai,Cerdonnai,9
certinoi,Certinoi,8
cessien,Cessien,7
ceyzeriacoi,Ceyzériacoi,11
ceyzeriolan,Ceyzériolan,11
chalamontai,Chalamontai,11
chalinoi,Chalinoi,8
chaleysien,Chaleysien,10
chaleen,Chaléen,7
challaisien,Challaisien,11
champenoi,Champenoi,9
cambot,Cambot,6
champfromerands,Champfromerands,15
chanerus,Chanerus,8
chaneinoi,Chaneinoi,9
chanozien,Chanozien,9
charian,Charian,7
charnozien,Charnozien,10
chateaugaillardan,Chateaugaillardan,17
chatenaysien,Chatenaysien,12
chatillonnai,Chatillonnai,12
chatillonnai,Chatillonnai,12
chatillonnai,Châtillonnai,12
chavannoi,Chavannoi,9
chavannai,Chavannai,9
bondolan,Bondolan,8
chazeyen,Chazeyen,8
cheignieulat,Cheignieulat,12
savorays,Savorays,8
chevrouti,Chevrouti,9
chevryzien,Chevryzien,10
chezerands,Chézerands,10
severin,Severin,7
cizoi,Cizoi,5
cleyzolets,Cleyzolets,10
colignoi,Colignoi,8
collongeoi,Collongeoi,10
colomiard,Colomiard,9
conandai,Conandai,8
condaminoi,Condaminoi,10
conduxien,Conduxien,9
confordier,Confordier,10
confranconnai,Confrançonnai,13
controvolat,Controvolat,11
conzolard,Conzolard,9
corcellan,Corcellan,9
corlieron,Corlieron,9
cormaranchoi,Cormaranchoi,12
cormoranchoi,Cormoranchoi,12
cormozien,Cormozien,9
curtivessien,Curtivessien,12
curtimengien,Curtimengien,12
crassoi,Crassoi,7
