rewrite,gentile_f_ville,nbre_car
ambarroise,Ambarroise,10
ambarroise,Ambarroise,10
ambleonaise,Ambléonaise,11
ambrunoise,Ambrunoise,10
butriane,Butriane,8
clafordane,Clafordane,10
marrane,Marrane,7
randaoillarde,Randaoillarde,13
arandassienne,Arandassienne,13
arbanaise,Arbanaise,9
arbignolane,Arbignolane,11
arbigneronne,Arbigneronne,12
argissienne,Argissienne,11
armixoise,Armixoise,9
arsoise,Arsoise,7
artemarienne,Artemarienne,12
asnieroise,Asniéroise,10
attignatie,Attignatie,10
bagesienne,Bagésienne,10
bagesienne,Bagésienne,10
balanaise,Balanaise,9
athanienne,Athanienne,10
beaupontoise,Beaupontoise,12
beauregardienne,Beauregardienne,15
belignarde,Bélignarde,10
bellegardienne,Bellegardienne,14
belleysanne,Belleysanne,11
belleydousane,Belleydousane,13
renouillue,Renouillue,10
belmontaise,Belmontaise,11
benoncarde,Bénonçarde,10
beneenne,Bénéenne,8
beonaise,Béonaise,8
bettaniere,Bettanière,10
begienne,Bégienne,8
beynolane,Beynolane,9
billiatuse,Billiatuse,10
birotane,Birotane,8
biziatie,Biziatie,8
blyarde,Blyarde,7
bolozonnaise,Bolozonnaise,12
boulignarde,Boulignarde,11
burgienne,Burgienne,9
bourtoire,Bourtoire,9
burhine,Burhine,7
brenazienne,Brénazienne,11
brenodienne,Brénodienne,11
breniarde,Bréniarde,9
bressollande,Bressollande,12
brionnaise,Brionnaise,10
briolande,Briolande,9
buellassienne,Buellassienne,13
ceigneuse,Ceigneuse,9
cerdonnaise,Cerdonnaise,11
certinoise,Certinoise,10
cessienne,Cessienne,9
ceyzeriacoise,Ceyzériacoise,13
ceyzeriolane,Ceyzériolane,12
chalamontaise,Chalamontaise,13
chalinoise,Chalinoise,10
chaleysienne,Chaleysienne,12
chaleenne,Chaléenne,9
challaisienne,Challaisienne,13
champenoise,Champenoise,11
cambotte,Cambotte,8
champfromerande,Champfromerande,15
chanerue,Chanerue,8
chaneinoise,Chaneinoise,11
chanozienne,Chanozienne,11
chariane,Chariane,8
charnozienne,Charnozienne,12
chateaugaillardane,Chateaugaillardane,18
chatenaysienne,Chatenaysienne,14
chatillonnaise,Chatillonnaise,14
chatillonnaise,Chatillonnaise,14
chatillonnaise,Châtillonnaise,14
chavannoise,Chavannoise,11
chavannaise,Chavannaise,11
bondolane,Bondolane,9
chazeyenne,Chazeyenne,10
cheignieulate,Cheignieulate,13
savorayse,Savorayse,9
chevroutie,Chevroutie,10
chevryzienne,Chevryzienne,12
chezerande,Chézerande,10
severine,Severine,8
cizoise,Cizoise,7
cleyzolette,Cleyzolette,11
colignoise,Colignoise,10
collongeoise,Collongeoise,12
colomiarde,Colomiarde,10
conandaise,Conandaise,10
condaminoise,Condaminoise,12
conduxienne,Conduxienne,11
confordiere,Confordière,11
confranconnaise,Confrançonnaise,15
controvolate,Controvolate,12
conzolarde,Conzolarde,10
corcellane,Corcellane,10
corlierone,Corlierone,10
cormaranchoise,Cormaranchoise,14
cormoranchoise,Cormoranchoise,14
cormozienne,Cormozienne,11
curtivessienne,Curtivessienne,14
curtimengienne,Curtimengienne,14
crassoise,Crassoise,9
crottassise,Crottassise,11
crozatie,Crozatie,8
cruzillarde,Cruzillarde,11
culozienne,Culozienne,10
curciatie,Curciatie,9
cuziolane,Cuziolane,9
dagnarde,Dagnarde,8
divonnaise,Divonnaise,10
dommartinoise,Dommartinoise,13
dompierroise,Dompierroise,12
dompierroise,Dompierroise,12
domsuroise,Domsuroise,10
dortannaise,Dortannaise,11
douvroise,Douvroise,9
dromniere,Dromnière,9
druillatie,Druillatie,10
echallonnaise,Echallonnaise,13
chenevessienne,Chenevessienne,14
etrezienne,Etrézienne,10
evosgienne,Evosgienne,10
faramandarde,Faramandarde,12
farinoise,Farinoise,9
fargeoise,Fargeoise,9
feillendite,Feillendite,11
ferneysienne,Ferneysienne,12
flaxiolane,Flaxiolane,10
foissiatie,Foissiatie,10
franvernoise,Franvernoise,12
genolienne,Génolienne,10
germanoise,Germanoise,10
gessienne,Gessienne,9
gironnaise,Gironnaise,10
gorrevoutie,Gorrevoutie,11
corentine,Corentine,9
griegeoise,Griègeoise,10
grillerande,Grillerande,11
groissiatie,Groissiatie,11
guerinoise,Guerinoise,10
altacurcienne,Altacurcienne,13
hautevilloise,Hautevilloise,13
tiaque,Tiaque,6
illiatie,Illiatie,8
injolan,Injolan,7
izernoise,Izernoise,9
izieulante,Izieulante,10
jassannaise,Jassannaise,11
jasseronnaise,Jasseronnaise,13
jayatie,Jayatie,7
journanaise,Journanaise,11
joliacoise,Joliacoise,10
sussurienne,Sussurienne,11
abergementaise,Abergementaise,14
buissarde,Buissarde,9
burbanchoise,Burbanchoise,12
chatelardoise,Châtelardoise,13
tranclerienne,Tranclérienne,13
balmerane,Balmérane,9
lagnolane,Lagnolane,9
laizienne,Laizienne,9
lalleyriatiere,Lalleyriatière,14
lancranaise,Lancranaise,11
begueline,Bégueline,9
perousarde,Pérousarde,10
lavortine,Lavortine,9
pof,Pof,3
montilienne,Montilienne,11
plantaysienne,Plantaysienne,13
poizatiere,Poizatière,10
leazienne,Léazienne,9
lelerande,Lélerande,9
lentaise,Lentaise,8
neyrollane,Neyrollane,10
lescherouxienne,Lescherouxienne,15
leymentaise,Leymentaise,11
hospitaliere,Hospitalière,12
lhuissar,Lhuissar,8
chicaneuse,Chicaneuse,10
lompniolane,Lompniolane,11
loyettaine,Loyettaine,10
lupercienne,Lupercienne,11
magnolane,Magnolane,9
maillatie,Maillatie,9
malafertoise,Malafertoise,12
mantenayronne,Mantenayronne,13
manziatie,Manziatie,9
marbozienne,Marbozienne,11
marignolane,Marignolane,11
marliozarde,Marliozarde,11
martignanaise,Martignanaise,13
masserotte,Masserotte,10
massignolante,Massignolante,13
matafelonaise,Matafelonaise,13
meillonnassienne,Meillonnassienne,16
messimienne,Messimienne,11
meximiarde,Meximiarde,10
massignolante,Massignolante,13
mijolande,Mijolande,9
mionnezane,Mionnezane,10
miribelane,Miribelane,10
miselanne,Miselanne,9
mijolande,Mijolande,9
montcellienne,Montcellienne,13
montluiste,Montluiste,10
montmerloise,Montmerloise,12
montrealaise,Montréalaise,12
montreveloise,Montrevéloise,13
nantuatienne,Nantuatienne,12
nattageoise,Nattageoise,11
neuvilloise,Neuvilloise,11
neuvilloise,Neuvilloise,11
neyrolande,Neyrolande,10
neyrolande,Neyrolande,10
onciolane,Onciolane,9
ordonnaxienne,Ordonnaxienne,13
ornesienne,Ornésienne,10
trioline,Trioline,8
oyonnaxienne,Oyonnaxienne,12
parcevine,Parcevine,9
parverane,Parverane,9
peronnaise,Péronnaise,10
peronnassienne,Péronnassienne,14
perougienne,Pérougienne,11
perrexienne,Perrexienne,11
peyriatie,Peyriatie,9
peyriolane,Peyriolane,10
pieziacoise,Piéziacoise,11
pirajellienne,Pirajellienne,13
pizolande,Pizolande,9
plagnarde,Plagnarde,9
