rewrite,nom_ville,nbre_car
amberieu-en-bugey,Ambérieu-en-Bugey,17
amberieux-en-dombes,Ambérieux-en-Dombes,19
ambleon,Ambléon,7
ambronay,Ambronay,8
ambutrix,Ambutrix,8
andert-et-condon,Andert-et-Condon,16
anglefort,Anglefort,9
apremont,Apremont,8
aranc,Aranc,5
arandas,Arandas,7
arbent,Arbent,6
arbignieu,Arbignieu,9
arbigny,Arbigny,7
argis,Argis,5
armix,Armix,5
ars-sur-formans,Ars-sur-Formans,15
artemare,Artemare,8
asnieres-sur-saone,Asnières-sur-Saône,18
attignat,Attignat,8
bage-la-ville,Bâgé-la-Ville,13
bage-le-chatel,Bâgé-le-Châtel,14
balan,Balan,5
baneins,Baneins,7
beard-geovreissiat,Béard-Géovreissiat,18
beaupont,Beaupont,8
beauregard,Beauregard,10
beligneux,Béligneux,9
bellegarde-sur-valserine,Bellegarde-sur-Valserine,24
belley,Belley,6
belleydoux,Belleydoux,10
bellignat,Bellignat,9
belmont-luthezieu,Belmont-Luthézieu,17
benonces,Bénonces,8
beny,Bény,4
beon,Béon,4
bereziat,Béréziat,8
bettant,Bettant,7
bey,Bey,3
beynost,Beynost,7
billiat,Billiat,7
birieux,Birieux,7
biziat,Biziat,6
blyes,Blyes,5
bohas-meyriat-rignat,Bohas-Meyriat-Rignat,20
boissey,Boissey,7
bolozon,Bolozon,7
bouligneux,Bouligneux,10
bourg-en-bresse,Bourg-en-Bresse,15
bourg-saint-christophe,Bourg-Saint-Christophe,22
boyeux-saint-jerome,Boyeux-Saint-Jérôme,19
boz,Boz,3
bregnier-cordon,Brégnier-Cordon,15
brenaz,Brénaz,6
brenod,Brénod,6
brens,Brens,5
bressolles,Bressolles,10
brion,Brion,5
briord,Briord,6
buellas,Buellas,7
ceignes,Ceignes,7
cerdon,Cerdon,6
certines,Certines,8
cessy,Cessy,5
ceyzeriat,Ceyzériat,9
ceyzerieu,Ceyzérieu,9
chalamont,Chalamont,9
chaleins,Chaleins,8
chaley,Chaley,6
challes-la-montagne,Challes-la-Montagne,19
challex,Challex,7
champagne-en-valromey,Champagne-en-Valromey,21
champdor,Champdor,8
champfromier,Champfromier,12
chanay,Chanay,6
chaneins,Chaneins,8
chanoz-chatenay,Chanoz-Châtenay,15
charix,Charix,6
charnoz-sur-ain,Charnoz-sur-Ain,15
chateau-gaillard,Château-Gaillard,16
chatenay,Châtenay,8
chatillon-en-michaille,Châtillon-en-Michaille,22
chatillon-la-palud,Châtillon-la-Palud,18
chatillon-sur-chalaronne,Châtillon-sur-Chalaronne,24
chavannes-sur-reyssouze,Chavannes-sur-Reyssouze,23
chavannes-sur-suran,Chavannes-sur-Suran,19
chaveyriat,Chaveyriat,10
chavornay,Chavornay,9
chazey-bons,Chazey-Bons,11
chazey-sur-ain,Chazey-sur-Ain,14
cheignieu-la-balme,Cheignieu-la-Balme,18
chevillard,Chevillard,10
chevroux,Chevroux,8
chevry,Chevry,6
chezery-forens,Chézery-Forens,14
civrieux,Civrieux,8
cize,Cize,4
cleyzieu,Cleyzieu,8
coligny,Coligny,7
collonges,Collonges,9
colomieu,Colomieu,8
conand,Conand,6
condamine,Condamine,9
condeissiat,Condeissiat,11
confort,Confort,7
confrancon,Confrançon,10
contrevoz,Contrevoz,9
conzieu,Conzieu,7
corbonod,Corbonod,8
corcelles,Corcelles,9
corlier,Corlier,7
cormaranche-en-bugey,Cormaranche-en-Bugey,20
cormoranche-sur-saone,Cormoranche-sur-Saône,21
cormoz,Cormoz,6
corveissiat,Corveissiat,11
courmangoux,Courmangoux,11
courtes,Courtes,7
crans,Crans,5
cras-sur-reyssouze,Cras-sur-Reyssouze,18
cressin-rochefort,Cressin-Rochefort,17
crottet,Crottet,7
crozet,Crozet,6
cruzilles-les-mepillat,Cruzilles-lès-Mépillat,22
culoz,Culoz,5
curciat-dongalon,Curciat-Dongalon,16
curtafond,Curtafond,9
cuzieu,Cuzieu,6
dagneux,Dagneux,7
divonne-les-bains,Divonne-les-Bains,17
dommartin,Dommartin,9
dompierre-sur-chalaronne,Dompierre-sur-Chalaronne,24
dompierre-sur-veyle,Dompierre-sur-Veyle,19
domsure,Domsure,7
dortan,Dortan,6
douvres,Douvres,7
drom,Drom,4
druillat,Druillat,8
echallon,Echallon,8
echenevex,Echenevex,9
etrez,Etrez,5
evosges,Evosges,7
faramans,Faramans,8
fareins,Fareins,7
farges,Farges,6
feillens,Feillens,8
ferney-voltaire,Ferney-Voltaire,15
flaxieu,Flaxieu,7
foissiat,Foissiat,8
francheleins,Francheleins,12
frans,Frans,5
garnerans,Garnerans,9
genouilleux,Genouilleux,11
geovreisset,Géovreisset,11
germagnat,Germagnat,9
gex,Gex,3
giron,Giron,5
gorrevod,Gorrevod,8
grand-corent,Grand-Corent,12
grieges,Grièges,7
grilly,Grilly,6
groissiat,Groissiat,9
groslee,Groslée,7
guereins,Guéreins,8
hautecourt-romaneche,Hautecourt-Romanèche,20
hauteville-lompnes,Hauteville-Lompnes,18
hostiaz,Hostiaz,7
hotonnes,Hotonnes,8
illiat,Illiat,6
injoux-genissiat,Injoux-Génissiat,16
innimond,Innimond,8
izenave,Izenave,7
izernore,Izernore,8
izieu,Izieu,5
jassans-riottier,Jassans-Riottier,16
jasseron,Jasseron,8
jayat,Jayat,5
journans,Journans,8
joyeux,Joyeux,6
jujurieux,Jujurieux,9
l-abergement-clemenciat,L'Abergement-Clémenciat,23
l-abergement-de-varey,L'Abergement-de-Varey,21
la-boisse,"La Boisse",9
la-burbanche,"La Burbanche",12
la-chapelle-du-chatelard,"La Chapelle-du-Châtelard",24
la-trancliere,"La Tranclière",13
labalme,Labalme,7
lagnieu,Lagnieu,7
laiz,Laiz,4
lalleyriat,Lalleyriat,10
lancrans,Lancrans,8
lantenay,Lantenay,8
lapeyrouse,Lapeyrouse,10
lavours,Lavours,7
le-grand-abergement,"Le Grand-Abergement",19
le-montellier,"Le Montellier",13
le-petit-abergement,"Le Petit-Abergement",19
le-plantay,"Le Plantay",10
le-poizat,"Le Poizat",9
leaz,Léaz,4
lelex,Lélex,5
lent,Lent,4
les-neyrolles,"Les Neyrolles",13
lescheroux,Lescheroux,10
leyment,Leyment,7
leyssard,Leyssard,8
lhopital,Lhôpital,8
lhuis,Lhuis,5
lochieu,Lochieu,7
lompnas,Lompnas,7
lompnieu,Lompnieu,8
loyettes,Loyettes,8
lurcy,Lurcy,5
magnieu,Magnieu,7
maillat,Maillat,7
malafretaz,Malafretaz,10
mantenay-montlin,Mantenay-Montlin,16
manziat,Manziat,7
marboz,Marboz,6
marchamp,Marchamp,8
marignieu,Marignieu,9
marlieux,Marlieux,8
marsonnas,Marsonnas,9
martignat,Martignat,9
massieux,Massieux,8
massignieu-de-rives,Massignieu-de-Rives,19
matafelon-granges,Matafelon-Granges,17
meillonnas,Meillonnas,10
merignat,Mérignat,8
messimy-sur-saone,Messimy-sur-Saône,17
meximieux,Meximieux,9
mezeriat,Mézériat,8
mijoux,Mijoux,6
mionnay,Mionnay,7
miribel,Miribel,7
miserieux,Misérieux,9
mogneneins,Mogneneins,10
montagnat,Montagnat,9
montagnieu,Montagnieu,10
montanges,Montanges,9
montceaux,Montceaux,9
montcet,Montcet,7
monthieux,Monthieux,9
montluel,Montluel,8
montmerle-sur-saone,Montmerle-sur-Saône,19
montracol,Montracol,9
montreal-la-cluse,Montréal-la-Cluse,17
montrevel-en-bresse,Montrevel-en-Bresse,19
murs-et-gelignieux,Murs-et-Gélignieux,18
nantua,Nantua,6
nattages,Nattages,8
