rewrite,gentile_h_ville_impr1,gentile_h_ville_impr2,nomcaractère
ambarrois,Ambarrois,,9
ambarrois,Ambarrois,,9
ambleonais,Ambléonais,,10
ambrunois,Ambrunois,,9
butrian,Butrian,,7
clafordan,Clafordan,,9
marrane,Marrane,,7
randaoillard,Randaoillard,,12
arandassien,Arandassien,,11
arbanais,Arbanais,,8
arbignolan,Arbignolan,,10
arbigneron,Arbigneron,,10
argissien,Argissien,,9
armixois,Armixois,,8
arsois,Arsois,,6
artemarien,Artemarien,,10
asnierois,Asniérois,,9
attignati,Attignatis,,9
bagesien,Bagésien,,8
bagesien,Bagésien,,8
balanais,Balanais,,8
athanien,Athanien,,8
beaupontois,Beaupontois,,11
beauregardien,Beauregardien,,13
belignard,Bélignard,,9
bellegardien,Bellegardien,,12
belleysan,Belleysan,,9
belleydousan,Belleydousan,,12
renouillu,Renouillus,,9
belmontais,Belmontais,,10
benoncard,Bénonçard,,9
beneen,Bénéen,,6
beonais,Béonais,,7
bettanier,Bettaniers,,9
begien,Bégien,,6
beynolan,Beynolan,,8
billiatus,Billiatus,,9
birotan,Birotan,,7
biziati,Biziatis,,7
blyard,Blyard,,6
bolozonnais,Bolozonnais,,11
boulignard,Boulignard,,10
burgien,Burgien,,7
bourtoir,Bourtoirs,,8
burhin,Burhin,,6
brenazien,Brénazien,,9
brenodien,Brénodien,,9
breniard,Bréniard,,8
bressolland,Bressollands,,11
brionnais,Brionnais,,9
brioland,Briolands,,8
buellassien,Buellassien,,11
ceigneur,Ceigneurs,,8
cerdonnais,Cerdonnais,,10
certinois,Certinois,,9
cessien,Cessien,,7
ceyzeriacois,Ceyzériacois,,12
ceyzeriolan,Ceyzériolan,,11
chalamontais,Chalamontais,,12
chalinois,Chalinois,,9
chaleysien,Chaleysien,,10
chaleen,Chaléen,,7
challaisien,Challaisien,,11
champenois,Champenois,,10
cambot,Cambot,,6
champfromerand,Champfromerands,,14
chaneru,Chanerus,,7
chaneinois,Chaneinois,,10
chanozien,Chanozien,,9
charian,Charian,,7
charnozien,Charnozien,,10
chateaugaillardan,Chateaugaillardan,,17
chatenaysien,Chatenaysien,,12
chatillonnais,Chatillonnais,,13
chatillonnais,Chatillonnais,,13
chatillonnais,Châtillonnais,,13
chavannois,Chavannois,,10
chavannais,Chavannais,,10
bondolan,Bondolan,,8
chazeyen,Chazeyens,,8
cheignieulat,Cheignieulat,,12
savoray,Savorays,,7
chevrouti,Chevroutis,,9
chevryzien,Chevryzien,,10
chezerand,Chézerands,,9
severin,Severin,,7
cizois,Cizois,,6
cleyzolet,Cleyzolets,,9
colignois,Colignois,,9
collongeois,Collongeois,,11
colomiard,Colomiard,,9
conandais,Conandais,,9
condaminois,Condaminois,,11
conduxien,Conduxien,,9
confordier,Confordiers,,10
confranconnais,Confrançonnais,,14
controvolat,Controvolat,,11
conzolard,Conzolard,,9
corcellan,Corcellan,,9
