rewrite,nbre_car
amberieu-en-bugey,17
amberieux-en-dombes,19
ambleon,7
ambronay,8
ambutrix,8
andert-et-condon,16
anglefort,9
apremont,8
aranc,5
arandas,7
arbent,6
arbignieu,9
arbigny,7
argis,5
armix,5
ars-sur-formans,15
artemare,8
asnieres-sur-saone,18
attignat,8
bage-la-ville,13
bage-le-chatel,14
balan,5
baneins,7
beard-geovreissiat,18
beaupont,8
beauregard,10
beligneux,9
bellegarde-sur-valserine,24
belley,6
belleydoux,10
bellignat,9
belmont-luthezieu,17
benonces,8
beny,4
beon,4
bereziat,8
bettant,7
bey,3
beynost,7
billiat,7
birieux,7
biziat,6
blyes,5
bohas-meyriat-rignat,20
boissey,7
bolozon,7
bouligneux,10
bourg-en-bresse,15
bourg-saint-christophe,22
boyeux-saint-jerome,19
boz,3
bregnier-cordon,15
brenaz,6
brenod,6
brens,5
bressolles,10
brion,5
briord,6
buellas,7
ceignes,7
cerdon,6
certines,8
cessy,5
ceyzeriat,9
ceyzerieu,9
chalamont,9
chaleins,8
chaley,6
challes-la-montagne,19
challex,7
champagne-en-valromey,21
champdor,8
champfromier,12
chanay,6
chaneins,8
chanoz-chatenay,15
charix,6
charnoz-sur-ain,15
chateau-gaillard,16
chatenay,8
chatillon-en-michaille,22
chatillon-la-palud,18
chatillon-sur-chalaronne,24
chavannes-sur-reyssouze,23
chavannes-sur-suran,19
chaveyriat,10
chavornay,9
chazey-bons,11
chazey-sur-ain,14
cheignieu-la-balme,18
chevillard,10
chevroux,8
chevry,6
chezery-forens,14
civrieux,8
cize,4
cleyzieu,8
coligny,7
collonges,9
colomieu,8
conand,6
condamine,9
condeissiat,11
confort,7
confrancon,10
contrevoz,9
conzieu,7
corbonod,8
corcelles,9
corlier,7
cormaranche-en-bugey,20
cormoranche-sur-saone,21
cormoz,6
corveissiat,11
courmangoux,11
courtes,7
crans,5
cras-sur-reyssouze,18
cressin-rochefort,17
crottet,7
crozet,6
cruzilles-les-mepillat,22
culoz,5
curciat-dongalon,16
curtafond,9
cuzieu,6
dagneux,7
divonne-les-bains,17
dommartin,9
dompierre-sur-chalaronne,24
dompierre-sur-veyle,19
domsure,7
dortan,6
douvres,7
drom,4
druillat,8
echallon,8
echenevex,9
etrez,5
evosges,7
faramans,8
fareins,7
farges,6
feillens,8
ferney-voltaire,15
flaxieu,7
foissiat,8
francheleins,12
frans,5
garnerans,9
genouilleux,11
geovreisset,11
germagnat,9
gex,3
giron,5
gorrevod,8
grand-corent,12
grieges,7
grilly,6
groissiat,9
groslee,7
guereins,8
hautecourt-romaneche,20
hauteville-lompnes,18
hostiaz,7
hotonnes,8
illiat,6
injoux-genissiat,16
innimond,8
izenave,7
izernore,8
izieu,5
jassans-riottier,16
jasseron,8
jayat,5
journans,8
joyeux,6
jujurieux,9
l-abergement-clemenciat,23
l-abergement-de-varey,21
la-boisse,9
la-burbanche,12
la-chapelle-du-chatelard,24
la-trancliere,13
labalme,7
lagnieu,7
laiz,4
lalleyriat,10
lancrans,8
lantenay,8
lapeyrouse,10
lavours,7
le-grand-abergement,19
le-montellier,13
le-petit-abergement,19
le-plantay,10
le-poizat,9
leaz,4
lelex,5
lent,4
les-neyrolles,13
lescheroux,10
leyment,7
leyssard,8
lhopital,8
lhuis,5
lochieu,7
lompnas,7
lompnieu,8
loyettes,8
lurcy,5
magnieu,7
maillat,7
malafretaz,10
mantenay-montlin,16
manziat,7
marboz,6
marchamp,8
marignieu,9
marlieux,8
marsonnas,9
martignat,9
massieux,8
massignieu-de-rives,19
matafelon-granges,17
meillonnas,10
merignat,8
messimy-sur-saone,17
meximieux,9
mezeriat,8
mijoux,6
mionnay,7
miribel,7
miserieux,9
mogneneins,10
montagnat,9
montagnieu,10
montanges,9
montceaux,9
montcet,7
monthieux,9
montluel,8
montmerle-sur-saone,19
montracol,9
montreal-la-cluse,17
montrevel-en-bresse,19
murs-et-gelignieux,18
nantua,6
nattages,8
neuville-les-dames,18
neuville-sur-ain,16
neyron,6
nievroz,7
nivollet-montgriffon,20
nurieux-volognat,16
oncieu,6
ordonnaz,8
ornex,5
outriaz,7
oyonnax,7
ozan,4
parcieux,8
parves,6
peron,5
peronnas,8
perouges,8
perrex,6
peyriat,7
peyrieu,7
peyzieux-sur-saone,18
pirajoux,8
pizay,5
plagne,6
polliat,7
pollieu,7
poncin,6
pont-d-ain,10
pont-de-vaux,12
pont-de-veyle,13
port,4
pougny,6
pouillat,8
premeyzel,9
premillieu,10
pressiat,8
prevessin-moens,15
priay,5
pugieu,6
ramasse,7
rance,5
relevant,8
replonges,9
revonnas,8
reyrieux,8
reyssouze,9
rignieux-le-franc,17
romans,6
rossillon,9
ruffieu,7
saint-alban,11
saint-andre-d-huiriat,21
saint-andre-de-bage,19
saint-andre-de-corcy,20
saint-andre-le-bouchoux,23
saint-andre-sur-vieux-jonc,26
saint-benigne,13
saint-benoit,12
saint-bernard,13
saint-bois,10
saint-champ,11
saint-cyr-sur-menthon,21
saint-denis-en-bugey,20
saint-denis-les-bourg,21
saint-didier-d-aussiat,22
saint-didier-de-formans,23
saint-didier-sur-chalaronne,27
saint-eloi,10
saint-etienne-du-bois,21
saint-etienne-sur-chalaronne,28
saint-etienne-sur-reyssouze,27
saint-genis-pouilly,19
saint-genis-sur-menthon,23
saint-georges-sur-renon,23
