rewrite,nbre_car
amberieu-en-bugey,17,Ambérieu-en-Bugey
amberieux-en-dombes,19,Ambérieux-en-Dombes
ambleon,7,Ambléon
ambronay,8,Ambronay
ambutrix,8,Ambutrix
andert-et-condon,16,Andert-et-Condon
anglefort,9,Anglefort
apremont,8,Apremont
aranc,5,Aranc
arandas,7,Arandas
arbent,6,Arbent
arbignieu,9,Arbignieu
arbigny,7,Arbigny
argis,5,Argis
armix,5,Armix
ars-sur-formans,15,Ars-sur-Formans
artemare,8,Artemare
asnieres-sur-saone,18,Asnières-sur-Saône
attignat,8,Attignat
bage-la-ville,13,Bâgé-la-Ville
bage-le-chatel,14,Bâgé-le-Châtel
balan,5,Balan
baneins,7,Baneins
beard-geovreissiat,18,Béard-Géovreissiat
beaupont,8,Beaupont
beauregard,10,Beauregard
beligneux,9,Béligneux
bellegarde-sur-valserine,24,Bellegarde-sur-Valserine
belley,6,Belley
belleydoux,10,Belleydoux
bellignat,9,Bellignat
belmont-luthezieu,17,Belmont-Luthézieu
benonces,8,Bénonces
beny,4,Bény
beon,4,Béon
bereziat,8,Béréziat
bettant,7,Bettant
bey,3,Bey
beynost,7,Beynost
billiat,7,Billiat
birieux,7,Birieux
biziat,6,Biziat
blyes,5,Blyes
bohas-meyriat-rignat,20,Bohas-Meyriat-Rignat
boissey,7,Boissey
bolozon,7,Bolozon
bouligneux,10,Bouligneux
bourg-en-bresse,15,Bourg-en-Bresse
bourg-saint-christophe,22,Bourg-Saint-Christophe
boyeux-saint-jerome,19,Boyeux-Saint-Jérôme
boz,3,Boz
bregnier-cordon,15,Brégnier-Cordon
brenaz,6,Brénaz
brenod,6,Brénod
brens,5,Brens
bressolles,10,Bressolles
brion,5,Brion
briord,6,Briord
buellas,7,Buellas
ceignes,7,Ceignes
cerdon,6,Cerdon
certines,8,Certines
cessy,5,Cessy
ceyzeriat,9,Ceyzériat
ceyzerieu,9,Ceyzérieu
chalamont,9,Chalamont
chaleins,8,Chaleins
chaley,6,Chaley
challes-la-montagne,19,Challes-la-Montagne
challex,7,Challex
champagne-en-valromey,21,Champagne-en-Valromey
champdor,8,Champdor
champfromier,12,Champfromier
chanay,6,Chanay
chaneins,8,Chaneins
chanoz-chatenay,15,Chanoz-Châtenay
charix,6,Charix
charnoz-sur-ain,15,Charnoz-sur-Ain
chateau-gaillard,16,Château-Gaillard
chatenay,8,Châtenay
chatillon-en-michaille,22,Châtillon-en-Michaille
chatillon-la-palud,18,Châtillon-la-Palud
chatillon-sur-chalaronne,24,Châtillon-sur-Chalaronne
chavannes-sur-reyssouze,23,Chavannes-sur-Reyssouze
chavannes-sur-suran,19,Chavannes-sur-Suran
chaveyriat,10,Chaveyriat
chavornay,9,Chavornay
chazey-bons,11,Chazey-Bons
chazey-sur-ain,14,Chazey-sur-Ain
cheignieu-la-balme,18,Cheignieu-la-Balme
chevillard,10,Chevillard
chevroux,8,Chevroux
chevry,6,Chevry
chezery-forens,14,Chézery-Forens
civrieux,8,Civrieux
cize,4,Cize
cleyzieu,8,Cleyzieu
coligny,7,Coligny
collonges,9,Collonges
colomieu,8,Colomieu
conand,6,Conand
condamine,9,Condamine
condeissiat,11,Condeissiat
confort,7,Confort
confrancon,10,Confrançon
contrevoz,9,Contrevoz
conzieu,7,Conzieu
corbonod,8,Corbonod
corcelles,9,Corcelles
corlier,7,Corlier
cormaranche-en-bugey,20,Cormaranche-en-Bugey
cormoranche-sur-saone,21,Cormoranche-sur-Saône
cormoz,6,Cormoz
corveissiat,11,Corveissiat
courmangoux,11,Courmangoux
courtes,7,Courtes
crans,5,Crans
cras-sur-reyssouze,18,Cras-sur-Reyssouze
cressin-rochefort,17,Cressin-Rochefort
crottet,7,Crottet
crozet,6,Crozet
cruzilles-les-mepillat,22,Cruzilles-lès-Mépillat
culoz,5,Culoz
curciat-dongalon,16,Curciat-Dongalon
curtafond,9,Curtafond
cuzieu,6,Cuzieu
dagneux,7,Dagneux
divonne-les-bains,17,Divonne-les-Bains
dommartin,9,Dommartin
dompierre-sur-chalaronne,24,Dompierre-sur-Chalaronne
dompierre-sur-veyle,19,Dompierre-sur-Veyle
domsure,7,Domsure
dortan,6,Dortan
douvres,7,Douvres
drom,4,Drom
druillat,8,Druillat
echallon,8,Echallon
echenevex,9,Echenevex
etrez,5,Etrez
evosges,7,Evosges
faramans,8,Faramans
fareins,7,Fareins
farges,6,Farges
feillens,8,Feillens
ferney-voltaire,15,Ferney-Voltaire
flaxieu,7,Flaxieu
foissiat,8,Foissiat
francheleins,12,Francheleins
frans,5,Frans
garnerans,9,Garnerans
genouilleux,11,Genouilleux
geovreisset,11,Géovreisset
germagnat,9,Germagnat
gex,3,Gex
giron,5,Giron
gorrevod,8,Gorrevod
grand-corent,12,Grand-Corent
grieges,7,Grièges
grilly,6,Grilly
groissiat,9,Groissiat
groslee,7,Groslée
guereins,8,Guéreins
hautecourt-romaneche,20,Hautecourt-Romanèche
hauteville-lompnes,18,Hauteville-Lompnes
hostiaz,7,Hostiaz
hotonnes,8,Hotonnes
illiat,6,Illiat
injoux-genissiat,16,Injoux-Génissiat
innimond,8,Innimond
izenave,7,Izenave
izernore,8,Izernore
